Time,Zip,Lat,Long,Pers i,Pers K,Ped i,Ped K,Cyc i,Cyc K,Mot i,Mot K
2.052,1.217,0.1402155,0.2588075,0,0,0,0,0,0,0,0
1.425,0.064,0.2607473,0.2783745,0,0,0,0,0,0,0,0
1.808,1.421,0.1652869,0.5032338,0,0,0,0,0,0,0,0
2,1.363,0.2465947,0.4873338,0,0,0,0,0,0,0,0
1.63,1.233,0.1072327,0.3169777,1,0,0,0,0,0,1,0
2.04,1.233,0.1247133,0.3141875,3,0,0,0,0,0,3,0
2.214,1.235,0.1500469,0.3236642,1,0,0,0,0,0,1,0
1.25,0.027,0.276434,0.284792,0,0,0,0,0,0,0,0
0.83,0.467,0.3613342,0.3446578,0,0,0,0,0,0,0,0
1.6,0.018,0.2593466,0.258069,0,0,0,0,0,0,0,0
0.9,1.206,0.1792942,0.3541621,5,0,0,0,0,0,5,0
1.84,1.69,0.1045101,0.4851474,1,0,1,0,0,0,0,0
1.735,1.427,0.2140336,0.4924444,0,0,0,0,0,0,0,0
1.6,0,0.2467846,0.2526344,0,0,0,0,0,0,0,0
1.115,0.015,0.2427633,0.2701798,0,0,0,0,0,0,0,0
1.65,0.029,0.3141957,0.2981003,1,0,0,0,0,0,1,0
2.01,1.233,0.0826175,0.3480879,0,0,0,0,0,0,0,0
1.82,0.311,0.0400419,0.0748439,0,0,0,0,0,0,0,0
1.33,0.015,0.2449681,0.2668641,0,0,0,0,0,0,0,0
0.221,1.223,0.0769984,0.2491761,0,0,0,0,0,0,0,0
1.92,0.015,0.2465192,0.2650638,3,0,0,0,0,0,3,0
0.42,0.018,0.2600376,0.2622854,0,0,0,0,0,0,0,0
1.73,1.215,0.1749849,0.2918865,1,0,0,0,1,0,0,0
2.325,1.691,0.0913009,0.4384672,1,0,0,0,0,0,1,0
2.12,0.024,0.2897617,0.2691092,0,0,0,0,0,0,0,0
0.008,0.456,0.3506842,0.3390241,1,0,0,0,0,0,1,0
0.83,1.367,0.2504346,0.3709568,1,0,0,0,0,0,1,0
1.007,0.024,0.297361,0.2727964,0,0,0,0,0,0,0,0
0.421,0.032,0.3482112,0.3080691,0,0,0,0,0,0,0,0
2,0.304,0.115167,0.1740513,1,0,0,0,0,0,1,0
1.04,0.453,0.3050129,0.3238476,1,0,0,0,0,0,1,0
1.609,0.301,0.1334654,0.0959611,1,0,0,0,0,0,1,0
1.715,0.313,0.1112671,0.1085652,3,0,0,0,0,0,3,0
1.015,0.309,0.1275977,0.1227917,1,0,0,0,0,0,1,0
1.038,0.451,0.3381613,0.3192408,0,0,0,0,0,0,0,0
2.115,0.3,0.1338865,0.1653528,0,0,0,0,0,0,0,0
1.53,0.307,0.0534699,0.0909285,0,0,0,0,0,0,0,0
0.845,0.313,0.093076,0.0740164,0,0,0,0,0,0,0,0
1.522,0.313,0.1058578,0.077366,0,0,0,0,0,0,0,0
0.8,0.305,0.0780666,0.1269803,0,0,0,0,0,0,0,0
0.336,1.204,0.1894369,0.2832214,0,0,0,0,0,0,0,0
1.427,0.313,0.0885038,0.0902841,0,0,0,0,0,0,0,0
1.63,1.696,0.0549268,0.3183512,0,0,0,0,0,0,0,0
2.15,0.303,0.109151,0.1443118,0,0,0,0,0,0,0,0
2,0.305,0.0785797,0.141408,2,0,0,0,0,0,2,0
0.705,1.422,0.2111091,0.4774782,0,0,0,0,0,0,0,0
1.1,0.313,0.1081799,0.124375,0,0,0,0,0,0,0,0
1.73,0.016,0.2513009,0.2634521,3,0,0,0,0,0,3,0
0.711,0.127,0.2744963,0.2975216,1,0,0,0,0,0,1,0
1.225,0.029,0.3166513,0.2943595,0,0,0,0,0,0,0,0
0.8,0.455,0.3229565,0.3330905,0,0,0,0,0,0,0,0
1.6,0.455,0.3352829,0.3259303,1,0,0,0,0,0,1,0
1.61,0.012,0.2150773,0.2325941,0,0,0,0,0,0,0,0
1.624,1.217,0.1376851,0.2710611,1,0,0,0,0,0,1,0
1.035,1.216,0.1845495,0.2561109,0,0,0,0,0,0,0,0
2.3,1.412,0.1695229,0.4853738,2,0,0,0,0,0,2,0
0,0.032,0.3431362,0.3080858,0,0,0,0,0,0,0,0
1.15,1.217,0.139516,0.2555067,0,0,0,0,0,0,0,0
