DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
8/25/2014,0.504,MANHATTAN,0.023,0.2828664,0.2715005,"(40.783976, -73.970299)",CENTRAL PARK WEST,WEST 84 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Alcohol Involvement,Other Vehicular,Other Vehicular,,1013833,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
8/27/2014,1.758,MANHATTAN,0.012,0.2223403,0.2379722,"(40.72345, -74.003828)",WATTS STREET,THOMPSON STREET,,0,0,0,0,0,0,0,0,View Obstructed/Limited,View Obstructed/Limited,Prescription Medication,,,1014277,OTHER,OTHER,SPORT UTILITY / STATION WAGON,,
8/26/2014,1.501,MANHATTAN,0.009,0.2396805,0.2579884,"(40.740791, -73.983812)",LEXINGTON AVENUE,EAST 25 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Physical Disability,Other Vehicular,,,1014313,MOTORCYCLE,TAXI,PASSENGER VEHICLE,,
8/26/2014,1.75,MANHATTAN,0.02,0.2732579,0.2782514,"(40.774368, -73.963549)",EAST 76 STREET,MADISON AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,1014362,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
8/27/2014,1.8,STATEN ISLAND,0.308,0.0369922,0.02979,"(40.538102, -74.21201)",MAGUIRE AVENUE,SINCLAIR AVENUE,,1,0,0,0,0,0,1,0,Glare,Glare,Glare,,,1015344,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
8/29/2014,1.403,MANHATTAN,0.074,0.2752089,0.279675,"(40.776319, -73.962125)",EAST 79 STREET,MADISON AVENUE,,1,1,0,1,0,0,1,0,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,,,1015409,TAXI,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
8/29/2014,1.135,QUEENS,1.354,0.2482371,0.4159548,"(40.749347, -73.825845)",MAIN STREET,PECK AVENUE,,2,0,0,0,0,0,2,0,Fell Asleep,Fell Asleep,Fell Asleep,,,1015722,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
8/29/2014,1.23,QUEENS,1.356,0.2914175,0.4315718,"(40.792528, -73.810228)",11 AVENUE,152 STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,Fell Asleep,,,1015725,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
8/29/2014,2,QUEENS,1.353,0.262961,0.4326639,"(40.764071, -73.809136)",156 STREET,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,Backing Unsafely,,,1015734,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
8/30/2014,0.847,BROOKLYN,1.211,0.1547427,0.3316782,"(40.655853, -73.910122)",BOYLAND STREET,HEGEMAN AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,,1016018,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
