DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/19/2016,11:31,MANHATTAN,10019,40.7668758,-73.979076,"(40.766876, -73.979076)",CENTRAL PARK SOUTH,7 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3408405,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/14/2016,3:30,MANHATTAN,10021,40.7681193,-73.9588624,"(40.768119, -73.958862)",EAST 71 STREET,2 AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,Alcohol Involvement,,,3408446,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/23/2016,9:06,MANHATTAN,10028,40.7761962,-73.9498707,"(40.776196, -73.949871)",1 AVENUE,EAST 85 STREET,,0,0,0,0,0,0,0,0,Outside Car Distraction,Outside Car Distraction,Outside Car Distraction,,,3408569,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/24/2016,14:00,MANHATTAN,10128,40.7775544,-73.9488804,"(40.777554, -73.94888)",1 AVENUE,EAST 87 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3408584,PASSENGER VEHICLE,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,
04/12/2016,20:30,MANHATTAN,10032,40.8410766,-73.9397674,"(40.841077, -73.939767)",BROADWAY,WEST 168 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3410632,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/24/2016,15:10,MANHATTAN,10065,40.7655185,-73.9720983,"(40.765519, -73.972098)",5 AVENUE,EAST 61 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,3408598,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
03/25/2016,14:22,MANHATTAN,10028,40.7765625,-73.9527048,"(40.776563, -73.952705)",EAST 84 STREET,2 AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Traffic Control Disregarded,Traffic Control Disregarded,,,3408611,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/06/2016,17:25,MANHATTAN,10022,40.7606005,-73.9643142,"(40.760601, -73.964314)",2 AVENUE,EAST 59 STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,Lost Consciousness,,,3408784,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,,
04/08/2016,19:00,MANHATTAN,10021,40.7704335,-73.9601102,"(40.770434, -73.96011)",3 AVENUE,EAST 73 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,,,3408811,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/09/2016,22:07,MANHATTAN,10128,40.7804368,-73.949882,"(40.780437, -73.949882)",EAST 90 STREET,2 AVENUE,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Traffic Control Disregarded,Traffic Control Disregarded,Traffic Control Disregarded,,3408828,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
04/15/2016,14:40,MANHATTAN,10128,40.7838899,-73.9502838,"(40.78389, -73.950284)",3 AVENUE,EAST 94 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3408922,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),OTHER,,
04/17/2016,13:57,MANHATTAN,10128,40.7832478,-73.9447234,"(40.783248, -73.944723)",EAST 96 STREET,1 AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,,,3408945,PASSENGER VEHICLE,PASSENGER VEHICLE,OTHER,,
04/23/2016,4:29,MANHATTAN,10022,40.7612344,-73.9638843,"(40.761234, -73.963884)",2 AVENUE,EAST 60 STREET,,0,0,0,0,0,0,0,0,Physical Disability,Physical Disability,Physical Disability,,,3409042,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/24/2016,9:30,MANHATTAN,10023,40.7773037,-73.9825823,"(40.777304, -73.982582)",AMSTERDAM AVENUE,WEST 70 STREET,,0,0,0,0,0,0,0,0,Illness,Illness,Illness,,,3409146,PICK-UP TRUCK,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,
04/05/2016,9:50,MANHATTAN,10023,40.7722094,-73.9821793,"(40.772209, -73.982179)",WEST 64 STREET,BROADWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3409213,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/16/2016,11:33,MANHATTAN,10023,40.7787301,-73.9778302,"(40.77873, -73.97783)",COLUMBUS AVENUE,WEST 74 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3409293,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/15/2016,19:30,MANHATTAN,10024,40.779998,-73.9769018,"(40.779998, -73.976902)",WEST 76 STREET,COLUMBUS AVENUE,,1,0,0,0,0,0,1,0,Passenger Distraction,Passenger Distraction,Passenger Distraction,,,3409308,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/20/2016,9:30,MANHATTAN,10024,40.7820225,-73.9717231,"(40.782023, -73.971723)",CENTRAL PARK WEST,WEST 81 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,3409310,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
04/13/2016,18:11,MANHATTAN,10024,40.7852936,-73.9693348,"(40.785294, -73.969335)",TRANSVERSE ROAD NUMBER THREE,CENTRAL PARK WEST,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,,,3409354,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/17/2016,13:40,MANHATTAN,10029,40.7908949,-73.9451685,"(40.790895, -73.945168)",3 AVENUE,EAST 105 STREET,,1,0,0,0,0,0,1,0,Obstruction/Debris,Obstruction/Debris,Obstruction/Debris,,,3409372,OTHER,OTHER,SMALL COM VEH(4 TIRES),,
03/18/2016,12:07,MANHATTAN,10029,40.7948616,-73.9464798,"(40.794862, -73.94648)",PARK AVENUE,EAST 109 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,3409375,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
03/22/2016,16:10,MANHATTAN,10029,40.7885854,-73.9552819,"(40.788585, -73.955282)",EAST 97 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,Turning Improperly,,,3409396,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/27/2016,18:00,MANHATTAN,10029,40.7915708,-73.9467714,"(40.791571, -73.946771)",EAST 105 STREET,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Aggressive Driving/Road Rage,Aggressive Driving/Road Rage,,,3409427,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/29/2016,10:25,MANHATTAN,10029,40.7948616,-73.9464798,"(40.794862, -73.94648)",PARK AVENUE,EAST 109 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,3409433,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
