Pers K,Pers i,Mot i,Mot K,Zip,Long,Lat,Ped i,Time,Cyc i
0,1,1,0,1.233,0.3169777,0.1072327,0,1.63,0
0,3,3,0,1.233,0.3141875,0.1247133,0,2.04,0
0,1,1,0,1.235,0.3236642,0.1500469,0,2.214,0
0,0,0,0,0.027,0.284792,0.276434,0,1.25,0
0,0,0,0,0.467,0.3446578,0.3613342,0,0.83,0
0,0,0,0,0.018,0.258069,0.2593466,0,1.6,0
0,5,5,0,1.206,0.3541621,0.1792942,0,0.9,0
0,1,0,0,1.69,0.4851474,0.1045101,1,1.84,0
0,0,0,0,1.427,0.4924444,0.2140336,0,1.735,0
0,0,0,0,0,0.2526344,0.2467846,0,1.6,0
0,0,0,0,0.015,0.2701798,0.2427633,0,1.115,0
0,1,1,0,0.029,0.2981003,0.3141957,0,1.65,0
0,0,0,0,1.233,0.3480879,0.0826175,0,2.01,0
0,0,0,0,0.311,0.0748439,0.0400419,0,1.82,0
0,0,0,0,0.015,0.2668641,0.2449681,0,1.33,0
0,0,0,0,1.223,0.2491761,0.0769984,0,0.221,0
0,3,3,0,0.015,0.2650638,0.2465192,0,1.92,0
0,0,0,0,0.018,0.2622854,0.2600376,0,0.42,0
0,1,0,0,1.215,0.2918865,0.1749849,0,1.73,1
0,1,1,0,1.691,0.4384672,0.0913009,0,2.325,0
0,0,0,0,0.024,0.2691092,0.2897617,0,2.12,0
0,1,1,0,0.456,0.3390241,0.3506842,0,0.008,0
0,1,1,0,1.367,0.3709568,0.2504346,0,0.83,0
0,0,0,0,0.024,0.2727964,0.297361,0,1.007,0
0,0,0,0,0.032,0.3080691,0.3482112,0,0.421,0
0,1,1,0,0.304,0.1740513,0.115167,0,2,0
0,1,1,0,0.453,0.3238476,0.3050129,0,1.04,0
0,1,1,0,0.301,0.0959611,0.1334654,0,1.609,0
0,3,3,0,0.313,0.1085652,0.1112671,0,1.715,0
0,1,1,0,0.309,0.1227917,0.1275977,0,1.015,0
0,0,0,0,0.451,0.3192408,0.3381613,0,1.038,0
0,0,0,0,0.3,0.1653528,0.1338865,0,2.115,0
0,0,0,0,0.307,0.0909285,0.0534699,0,1.53,0
0,0,0,0,0.313,0.0740164,0.093076,0,0.845,0
0,0,0,0,0.313,0.077366,0.1058578,0,1.522,0
0,0,0,0,0.305,0.1269803,0.0780666,0,0.8,0
0,0,0,0,1.204,0.2832214,0.1894369,0,0.336,0
0,0,0,0,0.313,0.0902841,0.0885038,0,1.427,0
0,0,0,0,1.696,0.3183512,0.0549268,0,1.63,0
0,0,0,0,0.303,0.1443118,0.109151,0,2.15,0
0,2,2,0,0.305,0.141408,0.0785797,0,2,0
0,0,0,0,1.422,0.4774782,0.2111091,0,0.705,0
0,0,0,0,0.313,0.124375,0.1081799,0,1.1,0
0,3,3,0,0.016,0.2634521,0.2513009,0,1.73,0
0,1,1,0,0.127,0.2975216,0.2744963,0,0.711,0
0,0,0,0,0.029,0.2943595,0.3166513,0,1.225,0
0,0,0,0,0.455,0.3330905,0.3229565,0,0.8,0
0,1,1,0,0.455,0.3259303,0.3352829,0,1.6,0
0,0,0,0,0.012,0.2325941,0.2150773,0,1.61,0
0,1,1,0,1.217,0.2710611,0.1376851,0,1.624,0
0,0,0,0,1.216,0.2561109,0.1845495,0,1.035,0
0,2,2,0,1.412,0.4853738,0.1695229,0,2.3,0
0,0,0,0,0.032,0.3080858,0.3431362,0,0,0
0,0,0,0,1.217,0.2555067,0.139516,0,1.15,0
0,1,1,0,0.016,0.2641234,0.2510098,0,2.02,0
0,1,0,0,1.223,0.2655886,0.0787172,1,1.5,0
0,0,0,0,0.013,0.2362546,0.2260456,0,1.829,0
0,1,1,0,1.233,0.3149221,0.1178399,0,0.64,0
0,4,4,0,0.462,0.3370904,0.373508,0,1.755,0
0,0,0,0,1.372,0.3641298,0.2356423,0,1.84,0
0,1,1,0,1.231,0.2433351,0.1450503,0,0.45,0
0,0,0,0,0.064,0.2783745,0.2607473,0,1.905,0
0,0,0,0,1.203,0.267217,0.1105043,0,0.145,0
0,0,0,0,1.225,0.277146,0.1497769,0,2.215,0
